county,indicator,Unit,Date,Value
Nyanza,Under-five mortality rate,,2014,82
Nyanza,Under-five mortality rate,,2022,56
Nyanza,Child mortality rate,,1989,60
Nyanza,Child mortality rate,,1993,67
Nyanza,Child mortality rate,,1998,73
Nyanza,Child mortality rate,,2003,84
Nyanza,Child mortality rate,,2008,60
Nyanza,Child mortality rate,,2014,33
Nyanza,Child mortality rate,,2022,16
Nyanza,Infant mortality rate,,1989,94
Nyanza,Infant mortality rate,,1993,128
Nyanza,Infant mortality rate,,1998,135
Nyanza,Infant mortality rate,,2003,133
Nyanza,Infant mortality rate,,2008,95
Nyanza,Infant mortality rate,,2014,50
Nyanza,Infant mortality rate,,2022,40
Nyanza,Postneonatal mortality rate,,1989,62
Nyanza,Postneonatal mortality rate,,1993,89
Nyanza,Postneonatal mortality rate,,1998,97
Nyanza,Postneonatal mortality rate,,2003,106
Nyanza,Postneonatal mortality rate,,2008,56
Nyanza,Postneonatal mortality rate,,2014,31
Nyanza,Postneonatal mortality rate,,2022,13
Nyanza,Neonatal mortality rate,,1989,32
Nyanza,Neonatal mortality rate,,1993,38
Nyanza,Neonatal mortality rate,,1998,38
Nyanza,Neonatal mortality rate,,2003,27
Nyanza,Neonatal mortality rate,,2008,39
Nyanza,Neonatal mortality rate,,2014,19
Nyanza,Neonatal mortality rate,,2022,27
Homa Bay,Under-five mortality rate,,2014,119
Homa Bay,Under-five mortality rate,,2022,61
Homa Bay,Child mortality rate,,2014,54
Homa Bay,Child mortality rate,,2022,20
Homa Bay,Infant mortality rate,,2014,69
Homa Bay,Infant mortality rate,,2022,42
Homa Bay,Postneonatal mortality rate,,2014,48
Homa Bay,Postneonatal mortality rate,,2022,11
Homa Bay,Neonatal mortality rate,,2014,21
Homa Bay,Neonatal mortality rate,,2022,32
Kisumu,Under-five mortality rate,,2014,76
Kisumu,Under-five mortality rate,,2022,45
Kisumu,Child mortality rate,,2014,32
Kisumu,Child mortality rate,,2022,5
Kisumu,Infant mortality rate,,2014,45
Kisumu,Infant mortality rate,,2022,40
Kisumu,Postneonatal mortality rate,,2014,36
Kisumu,Postneonatal mortality rate,,2022,19
Kisumu,Neonatal mortality rate,,2014,8
Kisumu,Neonatal mortality rate,,2022,21
Kisii,Under-five mortality rate,,2014,36
Kisii,Under-five mortality rate,,2022,40
Kisii,Child mortality rate,,2014,7
Kisii,Child mortality rate,,2022,16
Kisii,Infant mortality rate,,2014,29
Kisii,Infant mortality rate,,2022,24
Kisii,Postneonatal mortality rate,,2014,15
Kisii,Postneonatal mortality rate,,2022,3
Kisii,Neonatal mortality rate,,2014,14
Kisii,Neonatal mortality rate,,2022,21
Migori,Under-five mortality rate,,2014,98
Migori,Under-five mortality rate,,2022,73
Migori,Child mortality rate,,2014,43
Migori,Child mortality rate,,2022,21
Migori,Infant mortality rate,,2014,57
Migori,Infant mortality rate,,2022,53
Migori,Postneonatal mortality rate,,2014,31
Migori,Postneonatal mortality rate,,2022,16
Migori,Neonatal mortality rate,,2014,26
Migori,Neonatal mortality rate,,2022,37
Nyamira,Under-five mortality rate,,2014,41
Nyamira,Under-five mortality rate,,2022,42
Nyamira,Child mortality rate,,2014,1
Nyamira,Child mortality rate,,2022,12
Nyamira,Infant mortality rate,,2014,40
Nyamira,Infant mortality rate,,2022,31
Nyamira,Postneonatal mortality rate,,2014,8
